"survey_id","lag_days"
13850,253.566666666667
13851,399.35
13852,80.6166666666667
13320,254.883333333333
13568,153.966666666667
13509,409.383333333333
13609,88.05
13508,1185.25
13522,99.7
13518,371.216666666667
13363,1091.1
13410,423.4
13577,849.416666666667
12554,325.666666666667
13529,919.433333333333
13613,76.8833333333333
13608,99.95
13521,219.666666666667
13441,-9.75
13319,559.816666666667
13511,128.25
13327,100.366666666667
13617,559.3
13605,231.316666666667
13418,77.0333333333333
13464,341.8
13533,278.8
13497,105.183333333333
12450,339.966666666667
13514,102.3
13465,100.966666666667
13330,75.3833333333333
13413,100.533333333333
13523,81.1166666666667
13424,208.566666666667
13377,129.7
13381,74.2
13415,204
13458,74.1166666666667
13616,253.783333333333
13594,240.766666666667
13556,245.066666666667
13627,79.5666666666667
13561,397.35
13832,79.6333333333333
13479,276.8
13352,170.633333333333
13831,417.816666666667
13404,76.4833333333333
13620,75.55
13478,99.4833333333333
13419,80.25
13370,99.1
13402,102.866666666667
13526,156.483333333333
13524,277.616666666667
13461,76.7666666666667
13451,125.066666666667
13602,107.416666666667
13408,346.933333333333
13472,176.5
13333,168.533333333333
13562,305.6
13388,33.5666666666667
13469,78.8166666666667
13528,111.65
13583,112.35
13828,76.3666666666667
13564,84.2666666666667
13545,396.5
13610,268.916666666667
13619,300.833333333333
13835,397.966666666667
13567,103.433333333333
13839,394.533333333333
13359,102.25
13538,75.05
13482,412.816666666667
13519,203.283333333333
13357,78.35
13364,543.3
13406,400.833333333333
13571,417.933333333333
13399,408.8
13611,78.2
13423,394.733333333333
13390,105.583333333333
13547,100.066666666667
13550,147.833333333333
13582,407.9
13321,98.3833333333333
13467,414.2
13599,177.633333333333
13527,77.95
13474,298.433333333333
13565,577.483333333333
13624,345.6
13481,317.183333333333
13462,80.05
13342,87.6333333333333
13343,420.616666666667
13349,517.066666666667
13573,243.366666666667
13456,209.8
13315,419.333333333333
13438,413.716666666667
13425,562.2
13398,83.5666666666667
13412,395.7
13447,414.433333333333
13339,565.383333333333
13367,77
13498,400.216666666667
13592,433.983333333333
13614,62.95
13492,124.1
13416,79.3166666666667
13473,179.75
13494,75.3833333333333
13488,303.583333333333
13501,133.15
13394,269
13457,412.166666666667
13575,76.8166666666667
12779,420.75
13601,292.816666666667
13365,75.6666666666667
13366,77.1666666666667
13405,247.566666666667
13382,73.9166666666667
13338,57.4833333333333
13502,247.633333333333
13606,392.65
13317,390.633333333333
13541,317.1
13837,634.75
13328,97.3666666666667
13347,439.566666666667
13536,269.2
13428,106.766666666667
13393,150.15
13517,296
13507,566.666666666667
11838,74.8166666666667
13417,99.85
13593,420.683333333333
13530,259.783333333333
13344,414.966666666667
13537,345.566666666667
13326,76.5333333333333
13512,84.95
13586,224.766666666667
13520,76.4666666666667
13510,79.9333333333333
13496,75.8833333333333
13584,102.016666666667
13387,253.033333333333
13426,132.116666666667
13493,366.633333333333
13459,396.9
13384,246.616666666667
13503,255.216666666667
13468,416.233333333333
13449,247.3
13598,247.133333333333
13553,223.9
13383,84.3
13356,399.866666666667
13334,225.416666666667
13322,267.7
13597,80.5
13539,268.866666666667
13490,274.383333333333
13433,56.7166666666667
13500,84.3166666666667
13580,228.716666666667
13324,79.3
13335,74.7333333333333
13499,395.4
13587,110.166666666667
13486,562.583333333333
13345,264.516666666667
13570,222.933333333333
13354,277.25
13355,397.733333333333
13353,246.75
13358,177.3
13551,105.25
13578,100.25
13615,30.2666666666667
13368,388.583333333333
13420,153.516666666667
13604,84.2
13463,388.066666666667
13329,80.4833333333333
13427,394.25
13591,78.55
13548,87.15
13396,86.4
13626,76.4666666666667
13475,5.05
13430,226.233333333333
13401,249.933333333333
13603,562.983333333333
13362,269.833333333333
13515,465.983333333333
11059,418.533333333333
13455,76.7
13532,107.533333333333
13442,84.6
13476,76.1166666666667
13422,401.333333333333
13331,131
13840,604.95
13505,247.716666666667
13618,56.4666666666667
13385,373.2
13558,388.283333333333
13489,160.183333333333
13313,73.8333333333333
13376,370.916666666667
13350,396.233333333333
13435,147.666666666667
13589,182.1
13440,403.55
13336,99.6333333333333
13453,347.416666666667
13554,75.1833333333333
13535,244.75
13392,246.133333333333
13471,74.2
13477,302.95
13372,392.65
13595,252.816666666667
13391,226.883333333333
13318,460.033333333333
13341,80.5333333333333
13437,132.833333333333
13431,74
13414,81.7833333333333
13566,411.433333333333
13487,77
13460,57.6166666666667
13480,296.15
13623,255.35
13585,75.45
13361,249.016666666667
13560,396.583333333333
13403,81.0166666666667
13312,72.7833333333333
13513,100.183333333333
13574,73.0333333333333
13525,306.05
13452,391.866666666667
13838,325.016666666667
13466,32.3
13448,84.1833333333333
13569,82.45
13369,407.933333333333
13622,62.2
