"index","gamblea_outcome1","gamblea_outcome2","gamblea_probability1","gamblea_probability2","gambleb_outcome1","gambleb_outcome2","gambleb_probability1","gambleb_probability2"
1,39,50,0.34,0.66,47,52,0.42,0.58
2,56,57,0.88,0.12,50,61,0.2,0.8
3,51,32,0.74,0.26,39,42,0.44,0.56
4,49,54,0.05,0.95,53,61,0.95,0.05
5,58,45,0.25,0.75,34,62,0.43,0.57
6,34,55,0.28,0.72,49,52,0.71,0.29
7,49,38,0.09,0.91,36,60,0.76,0.24
8,45,38,0.63,0.37,49,34,0.98,0.02
9,54,41,0.88,0.12,53,52,0.39,0.61
10,43,47,0.61,0.39,34,46,0.6,0.4
11,49,42,0.08,0.92,46,41,0.15,0.85
12,52,34,0.92,0.08,45,48,0.63,0.37
13,42,63,0.78,0.22,44,49,0.32,0.68
14,52,39,0.16,0.84,37,41,0.79,0.21
15,48,55,0.12,0.88,61,38,0.98,0.02
16,59,56,0.29,0.71,48,60,0.29,0.71
17,44,48,0.31,0.69,37,60,0.84,0.16
18,54,52,0.17,0.83,63,47,0.35,0.65
19,57,38,0.91,0.09,43,52,0.64,0.36
20,58,53,0.09,0.91,56,34,0.48,0.52
21,36,54,0.44,0.56,35,42,0.21,0.79
22,45,52,0.68,0.32,63,33,0.85,0.15
23,44,49,0.38,0.62,40,62,0.14,0.86
24,32,58,0.62,0.38,43,39,0.41,0.59
25,37,47,0.49,0.51,52,36,0.94,0.06
26,27,11,0.16,0.84,49,6,0.72,0.28
27,26,15,0.13,0.87,42,21,0.7,0.3
28,11,23,0.29,0.71,18,18,0.05,0.95
29,20,4,0.82,0.18,18,12,0.17,0.83
30,24,5,0.29,0.71,20,1,0.76,0.24
31,18,25,0.6,0.4,1,21,0.42,0.58
32,27,4,0.48,0.52,17,9,0.28,0.72
33,3,24,0.53,0.47,16,3,0.8,0.2
34,32,15,0.49,0.51,22,23,0.77,0.23
35,25,28,0.99,0.01,27,13,0.44,0.56
36,11,21,0.79,0.21,32,2,0.46,0.54
37,14,7,0.56,0.44,14,2,0.86,0.14
38,2,20,0.63,0.37,28,11,0.17,0.83
39,15,8,0.59,0.41,23,13,0.47,0.53
40,23,8,0.13,0.87,1,23,0.55,0.45
41,14,4,0.84,0.16,12,23,0.25,0.75
42,23,23,0.86,0.14,27,19,0.26,0.74
43,30,3,0.66,0.34,19,23,0.93,0.07
44,21,10,0.39,0.61,14,23,0.76,0.24
45,24,8,0.51,0.49,17,21,0.77,0.23
46,9,15,0.73,0.27,19,10,0.17,0.83
47,12,3,0.49,0.51,2,21,0.78,0.22
48,29,15,0.56,0.44,27,7,0.64,0.36
49,13,15,0.96,0.04,30,12,0.34,0.66
50,31,7,0.56,0.44,18,14,0.04,0.96
51,4,52,0.43,0.57,6,39,0.27,0.73
52,7,49,0.06,0.94,44,9,0.91,0.09
53,10,62,0.79,0.21,6,61,0.65,0.35
54,30,48,0.37,0.63,39,20,0.87,0.13
55,62,11,0.61,0.39,54,24,0.5,0.5
56,17,52,0.43,0.57,11,36,0.02,0.98
57,10,38,0.39,0.61,34,21,0.3,0.7
58,1,57,0.59,0.41,9,37,0.47,0.53
59,9,62,0.92,0.08,37,17,0.11,0.89
60,22,40,0.89,0.11,40,17,0.36,0.64
61,20,58,0.86,0.14,34,5,0.8,0.2
62,56,25,0.74,0.26,55,30,0.67,0.33
63,22,41,0.91,0.09,35,11,0.27,0.73
64,55,4,0.93,0.07,62,4,0.87,0.13
65,53,31,0.99,0.01,55,31,0.68,0.32
66,50,30,0.48,0.52,20,62,0.4,0.6
67,15,61,0.07,0.93,28,63,0.48,0.52
68,16,41,0.97,0.03,4,46,0.68,0.32
69,24,57,0.86,0.14,20,42,0.6,0.4
70,4,59,0.88,0.12,5,36,0.8,0.2
71,8,46,0.87,0.13,11,58,0.88,0.12
72,37,17,0.96,0.04,13,58,0.49,0.51
73,17,33,0.38,0.62,38,26,0.22,0.78
74,14,62,0.28,0.72,31,52,0.04,0.96
75,62,25,0.5,0.5,8,46,0.14,0.86
76,26,51,0.5,0.5,32,32,0.5,0.5
77,23,51,0.5,0.5,32,32,0.5,0.5
78,20,51,0.5,0.5,32,32,0.5,0.5
79,17,51,0.5,0.5,32,32,0.5,0.5
80,13,51,0.5,0.5,32,32,0.5,0.5
81,10,51,0.5,0.5,32,32,0.5,0.5
82,44,42,0.1,0.9,56,33,0.1,0.9
83,44,42,0.2,0.8,56,33,0.2,0.8
84,44,42,0.3,0.7,56,33,0.3,0.7
85,44,42,0.4,0.6,56,33,0.4,0.6
86,44,42,0.5,0.5,56,33,0.5,0.5
87,44,42,0.6,0.4,56,33,0.6,0.4
88,44,42,0.7,0.3,56,33,0.7,0.3
89,44,42,0.8,0.2,56,33,0.8,0.2
90,44,42,0.9,0.1,56,33,0.9,0.1
91,44,42,1,0,56,33,1,0
